tdate,BDI,BCI,BPI,BSI,BHI,BCTI,BDTI
2018/4/26,1375,2306,1272,1040,610,571,648
2018/4/27,1361,2251,1275,1042,605,571,655
2018/4/30,1341,2173,1276,1045,603,567,656
2018/5/1,1327,2136,1271,1043,601,560,655
2018/5/2,1346,2197,1271,1043,597,545,647
2018/5/3,1376,2308,1266,1047,591,546,648
2018/5/4,1384,2337,1265,1050,589,545,650
2018/5/8,1432,2482,1257,1051,585,541,655
2018/5/9,1465,2616,1253,1048,585,541,656
2018/5/10,1453,2565,1246,1052,584,540,656
2018/5/11,1472,2630,1245,1053,584,542,657
2018/5/14,1476,2635,1240,1055,585,540,656
2018/5/15,1468,2602,1237,1053,586,532,667
2018/5/16,1403,2407,1237,1056,587,529,681
2018/5/17,1305,2106,1239,1064,589,524,692
2018/5/18,1273,2053,1241,1069,590,525,714
2018/5/21,1239,1957,1243,1071,591,526,729
2018/5/22,1199,1854,1239,1074,590,535,748
2018/5/23,1162,1759,1222,1074,591,546,761
2018/5/24,1109,1551,1202,1074,590,558,776
2018/5/25,1077,1395,1187,1071,587,563,781
2018/5/29,1057,1324,1163,1068,586,569,779
2018/5/30,1042,1276,1149,1064,584,555,768
2018/5/31,1090,1401,1160,1063,583,555,754
2018/6/1,1156,1602,1192,1061,583,549,754
2018/6/4,1193,1712,1217,1061,583,546,749
2018/6/5,1249,1835,1250,1065,584,541,745
2018/6/6,1340,2088,1290,1065,583,538,735
2018/6/7,1395,2220,1344,1072,583,535,731
2018/6/8,1391,2151,1418,1075,584,531,734
2018/6/11,1387,2091,1451,1078,586,525,746
2018/6/12,1390,2068,1474,1084,588,522,751
2018/6/13,1404,2091,1488,1088,591,518,768
2018/6/14,1433,2184,1498,1089,592,518,760
2018/6/15,1445,2223,1495,1091,593,515,746
2018/6/18,1442,2228,1482,1092,595,511,736
2018/6/19,1419,2187,1458,1093,594,507,743
2018/6/20,1373,2090,1419,1094,593,506,743
2018/6/21,1347,2038,1382,1094,592,507,742
2018/6/22,1341,2011,1355,1092,593,506,745
2018/6/25,1333,2001,1339,1085,592,503,745
2018/6/26,1323,1986,1321,1078,589,500,735
2018/6/27,1309,1942,1324,1067,585,496,727
2018/6/28,1329,2025,1331,1055,583,493,724
2018/6/29,1385,2170,1336,1042,581,496,712
2018/7/2,1422,2304,1338,1034,575,500,705
2018/7/3,1476,2478,1336,1025,571,501,702
2018/7/4,1567,2743,1334,1017,569,501,705
2018/7/5,1612,3013,1339,1005,565,502,710
2018/7/6,1622,3086,1347,999,563,502,721
2018/7/9,1609,3016,1367,997,562,501,729
2018/7/10,1555,2792,1431,994,560,499,732
2018/7/11,1586,2793,1498,992,558,499,741
2018/7/12,1632,3041,1517,994,558,500,738
2018/7/13,1666,3156,1527,995,559,499,744
2018/7/16,1695,3238,1529,998,559,499,738
2018/7/17,1721,3335,1530,1003,561,494,723
2018/7/18,1688,3230,1529,1008,561,494,714
2018/7/19,1657,3130,1538,1016,561,496,713
2018/7/20,1689,3205,1557,1023,560,500,723
2018/7/23,1718,3304,1566,1028,560,507,727
2018/7/24,1774,3461,1581,1030,559,511,748
2018/7/25,1772,3462,1588,1033,556,512,753
2018/7/26,1708,3303,1583,1034,554,508,755
2018/7/27,1676,3197,1588,1035,553,503,759
2018/7/30,1703,3280,1587,1035,551,500,768
2018/7/31,1747,3471,1570,1035,549,498,768
2018/8/1,1760,3515,1539,1036,547,492,760
2018/8/2,1756,3534,1491,1032,544,490,756
2018/8/3,1773,3632,1447,1030,543,487,758
2018/8/6,1773,3654,1420,1030,542,483,749
2018/8/7,1732,3550,1386,1032,541,480,733
2018/8/8,1704,3483,1365,1035,541,478,725
2018/8/9,1694,3472,1349,1036,543,479,717
2018/8/10,1691,3480,1339,1039,542,489,713
2018/8/13,1709,3536,1339,1040,543,492,715
2018/8/14,1725,3587,1362,1042,543,492,723
2018/8/15,1727,3560,1403,1045,543,491,731
2018/8/16,1720,3476,1447,1050,544,490,736
2018/8/17,1723,3454,1485,1056,545,489,753
2018/8/20,1727,3424,1506,1062,543,486,774
2018/8/21,1736,3426,1530,1069,543,484,792
2018/8/22,1735,3371,1560,1078,548,481,791
2018/8/23,1709,3232,1607,1087,547,480,794
2018/8/24,1697,3164,1630,1095,551,479,804
2018/8/28,1684,3088,1643,1110,554,478,795
2018/8/29,1661,2994,1639,1121,556,476,789
2018/8/30,1614,2826,1608,1128,559,484,787
2018/8/31,1579,2732,1571,1132,562,501,786
2018/9/3,1557,2672,1540,1133,563,499,780
2018/9/4,1513,2535,1517,1135,564,516,772
2018/9/5,1477,2410,1504,1135,565,526,778
2018/9/6,1484,2424,1516,1135,565,534,778
2018/9/7,1490,2411,1528,1134,568,532,785
2018/9/10,1482,2363,1544,1136,569,532,784
2018/9/11,1439,2191,1556,1135,572,520,774
2018/9/12,1411,2074,1550,1134,576,518,769
2018/9/13,1382,1980,1534,1132,581,511,770
2018/9/14,1366,1900,1523,1134,588,513,765
2018/9/17,1357,1853,1518,1138,596,508,763
2018/9/18,1356,1826,1525,1151,600,502,766
2018/9/19,1373,1850,1530,1159,604,499,773
2018/9/20,1396,1838,1557,1169,612,503,780
2018/9/21,1413,1840,1586,1175,617,511,791
2018/9/24,1434,1864,1609,1185,622,516,794
2018/9/25,1450,1868,1639,1190,622,521,801
2018/9/26,1503,1910,1677,1194,626,531,804
2018/9/27,1524,1949,1689,1195,627,541,805
2018/9/28,1540,2000,1695,1194,629,550,791
2018/10/1,1555,2061,1692,1193,630,549,793
2018/10/2,1570,2148,1678,1189,631,551,801
2018/10/3,1574,2199,1679,1190,633,558,808
2018/10/4,1554,2148,1706,1192,634,587,837
2018/10/5,1536,2081,1727,1197,637,596,853
2018/10/8,1530,2042,1749,1201,639,590,858
2018/10/9,1503,1961,1747,1203,643,592,875
2018/10/10,1493,1949,1749,1205,647,597,890
2018/10/11,1515,2005,1763,1207,652,594,913
2018/10/12,1579,2169,1775,1204,657,598,921
2018/10/15,1584,2189,1779,1200,661,600,922
2018/10/16,1578,2164,1793,1196,663,600,947
2018/10/17,1554,2106,1796,1192,665,598,963
2018/10/18,1565,2176,1789,1181,668,589,988
2018/10/19,1576,2230,1775,1170,670,587,1024
2018/10/22,1579,2296,1756,1163,671,582,1051
2018/10/23,1577,2363,1715,1156,673,577,1066
2018/10/24,1546,2388,1669,1144,675,569,1099
2018/10/25,1516,2353,1622,1132,676,571,1121
2018/10/26,1519,2526,1583,1117,675,573,1141
2018/10/29,1522,2607,1556,1106,675,571,1153
2018/10/30,1513,2630,1530,1087,675,567,1150
2018/10/31,1490,2596,1524,1073,671,569,1157
2018/11/1,1470,2530,1526,1061,668,574,1152
2018/11/2,1457,2502,1530,1051,666,576,1143
2018/11/5,1428,2397,1531,1041,665,583,1134
2018/11/6,1395,2296,1528,1033,663,608,1116
2018/11/7,1304,1968,1511,1021,660,614,1104
2018/11/8,1231,1747,1496,1013,658,634,1097
2018/11/9,1147,1461,1495,1003,656,652,1092
2018/11/12,1125,1398,1496,994,654,654,1086
2018/11/13,1064,1153,1498,986,653,652,1082
2018/11/14,1009,940,1484,982,652,651,1091
2018/11/15,1020,1007,1466,970,649,649,1099
2018/11/16,1031,1057,1453,969,646,646,1106
2018/11/19,1023,1050,1437,964,645,645,1103
2018/11/20,1003,1002,1416,963,644,643,1107
2018/11/21,1008,1056,1393,959,642,650,1104
2018/11/22,1018,1089,1378,956,638,654,1126
2018/11/23,1093,1358,1376,952,635,660,1130
2018/11/26,1217,1789,1389,947,633,669,1127
2018/11/27,1339,2170,1416,943,631,695,1131
2018/11/28,1330,2121,1444,942,629,750,1133
2018/11/29,1281,1950,1455,945,628,780,1135
2018/11/30,1231,1755,1463,944,626,792,1132
2018/12/3,1203,1638,1469,945,626,840,1129
2018/12/4,1237,1739,1474,949,625,861,1146
2018/12/5,1296,1925,1472,950,625,876,1160
2018/12/6,1339,2080,1473,951,625,886,1168
2018/12/7,1372,2197,1469,953,625,894,1167
2018/12/10,1385,2244,1464,955,624,897,1180
2018/12/11,1364,2183,1454,958,623,909,1212
2018/12/12,1353,2153,1445,963,622,919,1218
2018/12/13,1365,2180,1459,968,621,917,1223
2018/12/14,1401,2383,1478,974,617,909,1223
2018/12/17,1406,2433,1490,978,614,895,1230
2018/12/18,1395,2393,1494,977,611,860,1240
2018/12/19,1378,2264,1492,979,607,844,1266
2018/12/20,1318,2071,1473,979,602,833,1258
2018/12/21,1279,1913,1437,977,597,823,1256
2018/12/24,1271,1905,1421,975,596,#N/A,#N/A
2019/1/2,1282,1987,1391,967,588,666,1009
2019/1/3,1267,1963,1365,958,578,657,999
2019/1/4,1260,2003,1331,946,571,656,982
2019/1/7,1247,2016,1300,933,563,666,973
2019/1/8,1262,2117,1257,918,556,684,967
2019/1/9,1238,2078,1218,893,546,683,957
2019/1/10,1189,1987,1170,870,536,674,930
2019/1/11,1169,1966,1137,842,524,667,929
2019/1/14,1147,1952,1118,814,511,659,925
2019/1/15,1096,1831,1104,785,499,655,920
2019/1/16,1055,1748,1079,755,483,665,899
2019/1/17,1077,1868,1045,729,466,665,891
2019/1/18,1112,2037,1018,701,451,661,873
2019/1/21,1092,2024,991,680,442,659,875
2019/1/22,1036,1892,950,660,432,664,868
2019/1/23,982,1775,893,638,423,668,866
2019/1/24,939,1726,828,607,409,668,875
2019/1/25,905,1730,748,576,395,672,877
2019/1/28,852,1631,687,552,384,669,874
2019/1/29,797,1508,644,526,368,667,872
2019/1/30,721,1295,612,498,347,659,859
2019/1/31,668,1116,574,472,328,653,848
2019/2/1,645,1014,560,450,311,649,843
2019/2/4,634,984,552,438,301,640,824
2019/2/5,629,972,553,423,294,636,806
2019/2/6,629,929,553,415,294,633,805
2019/2/7,610,846,561,414,290,629,797
2019/2/8,601,792,574,415,290,624,795
2019/2/11,595,736,586,429,292,618,791
2019/2/12,598,711,600,454,296,624,790
2019/2/13,608,707,611,478,302,618,798
2019/2/14,628,729,619,526,311,613,806
2019/2/15,639,727,624,560,315,609,818
2019/2/18,643,713,628,594,322,605,819
2019/2/19,635,650,639,625,335,607,828
2019/2/20,622,578,649,649,345,605,831
2019/2/21,630,570,657,686,353,594,828
2019/2/22,634,545,666,707,359,595,823
2019/2/25,637,520,685,721,366,588,801
2019/2/26,649,522,713,729,372,583,799
2019/2/27,651,500,752,738,382,580,796
2019/2/28,658,459,813,749,388,576,781
2019/3/1,664,383,863,759,393,575,774
2019/3/4,669,355,900,767,397,581,762
2019/3/5,663,299,924,776,407,585,754
2019/3/6,664,270,938,783,413,584,753
2019/3/7,657,236,926,790,418,577,747
2019/3/8,649,235,894,790,421,575,742
2019/3/11,645,250,866,790,424,575,737
2019/3/12,647,278,839,789,429,580,743
2019/3/13,654,327,823,789,430,588,740
2019/3/14,677,403,841,786,434,603,737
2019/3/15,730,520,883,786,437,606,735
2019/3/18,721,476,905,787,440,613,730
2019/3/19,712,421,922,789,443,627,715
2019/3/20,709,399,962,796,446,634,705
2019/3/21,695,288,1009,813,449,650,700
2019/3/22,690,251,1027,826,455,669,695
2019/3/25,689,230,1036,830,458,684,688
2019/3/26,683,190,1053,833,463,703,678
2019/3/27,690,178,1056,831,466,723,663
2019/3/28,692,167,1087,823,467,744,651
2019/3/29,689,150,1102,813,464,737,648
2019/4/1,685,122,1110,807,461,734,640
2019/4/2,674,92,1120,795,455,709,632
2019/4/3,672,104,1127,775,448,676,623
2019/4/4,699,210,1124,757,437,644,618
2019/4/5,711,276,1114,742,432,614,617
2019/4/8,714,312,1101,733,425,604,610
2019/4/9,725,375,1085,726,419,600,618
2019/4/10,734,428,1074,718,411,596,620
2019/4/11,728,423,1071,715,406,592,634
2019/4/12,726,418,1073,711,403,586,639
2019/4/15,738,445,1092,714,399,577,639
2019/4/16,749,459,1119,718,397,574,643
2019/4/17,767,463,1147,726,394,584,652
2019/4/18,790,490,1162,732,390,576,653
2019/4/23,821,572,1171,751,391,571,644
2019/4/24,850,648,1177,773,392,573,636
2019/4/25,869,691,1182,781,391,586,635
2019/4/26,889,783,1186,780,389,584,640
2019/4/29,913,884,1189,777,386,581,638
2019/4/30,1011,1276,1188,768,384,567,634
2019/5/1,1031,1389,1187,763,386,553,635
2019/5/2,1032,1420,1189,755,384,546,638
2019/5/3,985,1290,1190,752,382,536,645
2019/5/7,936,1119,1189,761,382,514,662
2019/5/8,940,1159,1188,770,382,523,672
2019/5/9,974,1270,1193,776,382,521,680
2019/5/10,1013,1371,1198,779,382,516,697
2019/5/13,1026,1405,1211,782,382,510,703
2019/5/14,1043,1462,1229,783,381,505,704
2019/5/15,1032,1417,1243,784,381,504,697
2019/5/16,1032,1428,1252,783,383,507,683
2019/5/17,1040,1463,1255,780,385,512,678
2019/5/20,1041,1470,1256,778,386,516,674
2019/5/21,1049,1501,1258,777,388,521,673
2019/5/22,1059,1537,1268,778,389,522,672
2019/5/23,1068,1558,1287,779,391,524,666
2019/5/24,1066,1545,1304,778,393,527,665
2019/5/28,1082,1585,1322,771,394,539,658
2019/5/29,1107,1659,1337,763,395,541,651
2019/5/30,1097,1623,1340,756,397,538,643
2019/5/31,1096,1620,1335,752,398,537,636
2019/6/3,1103,1650,1325,748,401,523,634
2019/6/4,1122,1739,1304,739,403,515,633
2019/6/5,1141,1806,1285,731,405,518,632
2019/6/6,1138,1826,1246,726,408,521,635
2019/6/7,1138,1862,1213,719,412,521,643
2019/6/10,1125,1848,1187,717,411,517,645
2019/6/11,1105,1798,1166,714,414,507,654
2019/6/12,1080,1746,1149,712,416,499,653
2019/6/13,1062,1718,1137,710,419,494,657
2019/6/14,1085,1800,1131,716,420,491,662
2019/6/17,1093,1826,1125,720,422,492,668
2019/6/18,1135,1956,1117,728,428,495,677
2019/6/19,1179,2051,1110,736,432,498,676
2019/6/20,1194,2080,1101,743,437,505,681
2019/6/21,1239,2278,1096,751,440,510,679
2019/6/24,1258,2363,1111,756,442,543,678
2019/6/25,1280,2389,1150,765,442,550,679
2019/6/26,1317,2440,1191,774,442,543,678
2019/6/27,1340,2465,1243,783,443,536,677
2019/6/28,1354,2488,1286,787,442,539,680
2019/7/1,1381,2557,1317,792,441,543,679
2019/7/2,1446,2717,1370,796,439,547,673
2019/7/3,1549,2939,1433,803,440,551,660
2019/7/4,1700,3298,1569,814,443,545,652
2019/7/5,1740,3346,1665,820,448,542,650
2019/7/8,1725,3260,1695,829,454,536,645
2019/7/9,1759,3343,1739,835,458,529,640
2019/7/10,1777,3361,1791,845,463,524,633
2019/7/11,1816,3416,1881,860,468,525,631
2019/7/12,1865,3541,1945,879,472,524,628
2019/7/15,1928,3724,1992,888,472,523,627
2019/7/16,2011,3968,2052,905,477,513,623
2019/7/17,2064,4095,2085,928,481,501,627
2019/7/18,2130,4256,2134,953,486,491,625
2019/7/19,2170,4379,2170,982,492,480,622
2019/7/22,2191,4438,2201,1002,497,478,624
2019/7/23,2165,4315,2219,1017,503,473,626
2019/7/24,2014,3808,2209,1019,506,471,628
2019/7/25,1947,3609,2180,1012,512,469,634
2019/7/26,1937,3647,2109,1005,515,466,634
2019/7/29,1922,3660,2050,996,516,461,632
2019/7/30,1899,3664,1969,988,516,455,624
2019/7/31,1868,3657,1891,982,516,456,621
2019/8/1,1812,3534,1818,974,517,464,620
2019/8/2,1788,3492,1779,968,517,467,621
2019/8/5,1774,3480,1753,959,519,489,617
2019/8/6,1734,3302,1759,956,519,501,617
2019/8/7,1712,3171,1791,955,520,498,626
2019/8/8,1720,3181,1839,959,521,492,628
2019/8/9,1748,3222,1898,970,523,488,627
2019/8/12,1774,3266,1932,975,524,485,626
2019/8/13,1864,3454,1999,992,530,474,627
2019/8/14,1950,3588,2089,1022,539,463,627
2019/8/15,2047,3767,2150,1070,550,458,631
2019/8/16,2088,3826,2169,1118,560,453,646
2019/8/19,2067,3728,2174,1141,569,455,649
2019/8/20,2059,3665,2161,1161,579,461,657
2019/8/21,2061,3671,2163,1188,591,458,659
2019/8/22,2118,3829,2181,1220,609,462,656
2019/8/23,2168,3991,2196,1249,619,469,662
2019/8/27,2213,4082,2218,1286,632,471,663
2019/8/28,2267,4213,2235,1310,643,469,664
2019/8/29,2277,4206,2249,1328,656,469,660
2019/8/30,2378,4467,2260,1336,665,468,656
2019/9/2,2442,4659,2262,1346,671,469,654
2019/9/3,2501,4862,2261,1350,677,470,651
2019/9/4,2518,5043,2250,1351,682,467,667
2019/9/5,2499,5036,2234,1348,688,464,676
2019/9/6,2462,4949,2216,1338,689,459,683
2019/9/9,2422,4844,2191,1330,690,459,685
2019/9/10,2393,4794,2161,1319,691,457,686
2019/9/11,2366,4726,2144,1311,692,453,696
2019/9/12,2331,4612,2129,1305,691,452,706
2019/9/13,2312,4547,2133,1299,691,450,708
2019/9/16,2311,4538,2133,1294,691,452,729
2019/9/17,2283,4456,2121,1292,691,453,755
2019/9/18,2266,4394,2089,1292,691,451,777
2019/9/19,2192,4136,2052,1296,691,448,795
2019/9/20,2131,3952,2013,1300,692,451,828
2019/9/23,2108,3903,1978,1298,692,458,833
2019/9/24,2116,3982,1939,1294,690,460,849
2019/9/25,2053,3829,1900,1282,692,464,850
2019/9/26,1963,3601,1846,1272,691,466,876
2019/9/27,1857,3338,1804,1260,690,465,935
2019/9/30,1823,3269,1766,1248,688,468,961
2019/10/1,1809,3232,1745,1231,684,474,998
2019/10/2,1803,3231,1725,1217,679,496,1033
2019/10/3,1757,3013,1722,1204,673,530,1123
2019/10/4,1767,3021,1731,1199,670,544,1191
2019/10/7,1770,3003,1748,1196,667,552,1258
2019/10/8,1801,3031,1804,1199,664,604,1355
2019/10/9,1873,3208,1852,1204,662,626,1442
2019/10/10,1929,3319,1899,1211,660,636,1561
2019/10/11,1924,3290,1916,1218,658,666,1941
2019/10/14,1916,3254,1928,1223,656,781,1958
2019/10/15,1898,3204,1918,1227,656,960,1797
2019/10/16,1897,3194,1888,1226,655,1031,1641
2019/10/17,1861,3081,1861,1224,653,972,1532
2019/10/18,1855,3064,1840,1222,651,937,1432
2019/10/21,1846,3047,1819,1221,649,906,1376
2019/10/22,1806,2944,1795,1217,646,856,1312
2019/10/23,1779,2873,1770,1210,642,814,1282
2019/10/24,1785,2926,1748,1200,637,754,1227
2019/10/25,1801,3009,1695,1187,631,742,1185
2019/10/28,1803,3052,1646,1179,626,733,1144
2019/10/29,1802,3078,1608,1159,617,721,1101
2019/10/30,1782,3078,1574,1127,604,711,1055
2019/10/31,1731,2978,1543,1091,591,693,1040
2019/11/1,1697,2950,1513,1045,580,687,1029
2019/11/4,1675,2946,1477,1005,571,674,1011
2019/11/5,1656,2975,1436,974,564,639,967
2019/11/6,1533,2726,1385,926,557,630,938
2019/11/7,1428,2517,1340,865,550,622,914
2019/11/8,1378,2444,1290,824,539,617,899
2019/11/11,1345,2393,1246,796,533,614,902
2019/11/12,1354,2485,1207,774,526,603,941
2019/11/13,1365,2565,1170,758,521,603,984
2019/11/14,1364,2623,1137,745,514,612,1082
2019/11/15,1357,2635,1118,735,509,632,1119
2019/11/18,1338,2603,1112,723,506,673,1143
2019/11/19,1304,2543,1116,716,501,696,1194
2019/11/20,1260,2435,1127,718,497,747,1235
2019/11/21,1255,2401,1129,731,495,842,1276
2019/11/22,1284,2493,1129,747,494,880,1296
2019/11/25,1351,2716,1119,767,494,942,1276
2019/11/26,1426,2953,1111,783,496,961,1297
2019/11/27,1440,2983,1121,796,498,951,1301
2019/11/28,1467,2995,1167,807,501,940,1283
2019/11/29,1528,3131,1225,816,505,923,1267
2019/12/2,1568,3231,1282,819,505,879,1252
2019/12/3,1606,3350,1315,825,505,847,1237
2019/12/4,1599,3382,1326,828,505,820,1259
2019/12/5,1575,3325,1336,831,505,809,1286
2019/12/6,1558,3273,1347,835,507,804,1315
2019/12/9,1551,3242,1359,837,508,803,1338
2019/12/10,1528,3167,1395,838,510,830,1375
2019/12/11,1460,2883,1443,838,510,854,1414
2019/12/12,1388,2598,1459,835,509,879,1419
2019/12/13,1355,2455,1467,823,509,892,1440
2019/12/16,1315,2334,1465,815,509,895,1455
2019/12/17,1281,2240,1421,802,509,901,1509
2019/12/18,1221,2103,1340,785,507,904,1545
2019/12/19,1151,1976,1265,764,504,911,1560
2019/12/20,1123,1958,1201,743,500,926,1589
2019/12/23,1103,1954,1154,728,494,952,1580
2019/12/24,1090,1950,1117,718,487,#N/A,1597
2020/1/2,976,1646,1003,685,465,889,1503
2020/1/3,907,1507,949,662,452,888,1517
2020/1/6,844,1388,890,642,443,892,1500
2020/1/7,791,1271,845,611,434,877,1509
2020/1/8,773,1197,803,593,426,857,1520
2020/1/9,772,1155,785,581,418,828,1508
2020/1/10,774,1066,771,570,408,801,1473
2020/1/13,765,1004,759,566,400,791,1448
2020/1/14,763,970,767,563,395,779,1396
2020/1/15,768,878,825,559,388,752,1340
2020/1/16,768,784,859,559,383,720,1305
2020/1/17,754,712,870,560,379,710,1241
2020/1/20,729,593,866,560,378,704,1226
2020/1/21,689,495,824,556,375,685,1227
2020/1/22,623,325,760,550,372,669,1237
2020/1/23,576,207,714,546,366,646,1208
2020/1/24,557,165,691,543,360,639,1190
2020/1/27,546,135,673,542,355,633,1152
2020/1/28,539,129,651,538,350,625,1093
2020/1/29,525,93,627,533,344,623,1046
2020/1/30,498,1,595,528,339,622,934
2020/1/31,487,-20,574,524,332,615,882
2020/2/3,466,-102,546,521,326,602,850
2020/2/4,453,-133,526,518,320,601,803
2020/2/5,430,-183,520,512,313,604,798
2020/2/6,431,-187,530,506,309,614,796
2020/2/7,415,-234,541,491,304,623,803
2020/2/10,411,-254,546,484,302,615,816
2020/2/11,418,-253,557,477,296,620,840
2020/2/12,421,-259,582,472,293,633,847
2020/2/13,421,-284,612,468,292,654,855
2020/2/14,425,-294,636,470,291,668,865
2020/2/17,434,-287,657,474,290,699,871
2020/2/18,450,-257,690,481,291,710,871
2020/2/19,465,-241,722,489,295,707,872
2020/2/20,480,-232,755,505,298,700,870
2020/2/21,497,-226,787,524,304,689,865
2020/2/24,506,-239,811,543,308,660,862
2020/2/25,508,-278,830,561,315,646,850
2020/2/26,517,-290,859,577,319,636,817
2020/2/27,529,-300,886,590,322,646,806
2020/2/28,535,-328,905,606,324,652,796
2020/3/2,539,-348,915,621,327,645,796
2020/3/3,549,-346,935,633,330,646,796
2020/3/4,562,-353,961,646,335,671,796
2020/3/5,599,-307,1026,671,344,683,792
2020/3/6,617,-312,1068,688,350,685,764
2020/3/9,616,-372,1067,704,355,717,778
2020/3/10,627,-347,1064,722,363,743,848
2020/3/11,631,-350,1057,735,374,781,1057
2020/3/12,633,-355,1035,745,386,793,1173
2020/3/13,631,-311,1007,750,395,816,1434
2020/3/16,623,-293,970,754,401,835,1518
2020/3/17,612,-289,930,754,406,850,1516
2020/3/18,629,-204,886,755,415,851,1379
2020/3/19,630,-166,850,748,421,854,1242
2020/3/20,625,-121,807,741,423,848,1166
2020/3/23,617,-109,774,732,428,846,1099
2020/3/24,603,-110,746,720,430,843,1041
2020/3/25,582,-113,720,702,423,857,1068
2020/3/26,569,-106,715,675,415,858,1111
2020/3/27,556,-97,729,641,401,855,1230
2020/3/30,548,-69,732,606,389,860,1348
2020/3/31,626,204,757,568,375,866,1394
2020/4/1,624,219,783,535,364,881,1406
2020/4/2,624,268,792,513,350,886,1402
2020/4/3,616,319,797,495,340,874,1383
2020/4/6,604,338,801,485,335,855,1240
2020/4/7,596,356,800,472,324,827,1122
2020/4/8,607,425,805,454,315,822,1071
2020/4/9,635,541,813,441,306,816,1114
2020/4/14,679,687,818,429,298,818,1108
2020/4/15,706,794,820,419,290,846,1084
2020/4/16,726,887,821,411,281,877,1102
2020/4/17,751,993,825,404,275,949,1154
2020/4/20,757,1057,822,398,269,1045,1182
2020/4/21,728,1004,804,390,263,1367,1377
2020/4/22,694,968,778,384,258,1831,1525
2020/4/23,672,970,759,383,253,2028,1537
2020/4/24,665,964,747,388,247,2170,1550
2020/4/27,661,962,741,392,245,2190,1536
2020/4/28,655,945,731,397,241,2111,1503
2020/4/29,643,926,720,404,239,2013,1387
2020/4/30,635,895,711,410,238,1912,1236
2020/5/1,617,820,704,413,239,1687,1105
2020/5/4,598,743,702,416,234,1518,1015
2020/5/5,575,669,692,417,233,1339,905
2020/5/6,534,519,678,420,231,1216,881
2020/5/7,514,461,667,423,228,1163,863
2020/5/11,474,292,658,431,230,1069,868
2020/5/12,433,123,645,434,228,964,870
2020/5/13,398,-17,628,440,229,898,872
2020/5/14,393,-48,614,446,230,759,863
2020/5/15,407,26,603,450,230,704,852
2020/5/18,427,94,599,456,233,680,847
2020/5/19,453,174,599,462,237,652,818
2020/5/20,477,174,607,471,239,621,792
2020/5/21,494,180,623,478,243,569,756
2020/5/22,498,162,635,486,249,579,735
2020/5/26,506,147,656,495,257,580,718
2020/5/27,502,108,689,500,262,577,733
2020/5/28,489,27,720,502,267,596,720
2020/5/29,504,46,754,500,271,587,713
2020/6/1,520,82,777,497,274,560,698
2020/6/2,546,167,795,495,279,546,653
2020/6/3,592,356,809,494,285,523,628
2020/6/4,632,518,815,499,290,491,605
2020/6/5,679,736,814,507,294,475,592
2020/6/8,698,810,809,515,299,458,584
2020/6/9,714,859,799,532,304,448,577
2020/6/10,764,1039,796,556,309,431,572
2020/6/11,839,1300,821,575,315,422,559
2020/6/12,923,1523,852,597,321,418,551
2020/6/15,973,1648,884,612,329,415,545
2020/6/16,1054,1854,949,624,336,402,530
2020/6/17,1246,2455,1019,634,344,401,524
2020/6/18,1527,3672,1117,648,354,402,513
2020/6/19,1555,3819,1178,657,363,401,509
2020/6/22,1558,3791,1204,662,368,402,496
2020/6/23,1617,3976,1222,667,374,412,473
2020/6/24,1705,4189,1245,674,381,408,459
2020/6/25,1738,4213,1253,678,385,408,466
2020/6/26,1749,4219,1256,678,389,407,467
2020/6/29,1794,4325,1256,679,395,400,465
2020/6/30,1799,4320,1257,683,401,396,462
2020/7/1,1803,4233,1255,686,405,396,464
2020/7/2,1823,4264,1257,693,408,390,464
2020/7/3,1894,4440,1316,701,412,382,471
2020/7/6,1956,4071,1376,708,414,375,483
2020/7/7,1949,3968,1457,725,417,367,487
2020/7/8,1849,3570,1517,773,420,358,492
2020/7/9,1810,3386,1557,809,426,349,498
2020/7/10,1810,3333,1587,835,435,344,500
2020/7/13,1792,3251,1597,856,438,342,499
2020/7/14,1742,3082,1597,875,442,339,492
2020/7/15,1696,2941,1579,890,448,334,491
2020/7/16,1699,2971,1544,899,453,329,509
2020/7/17,1710,3025,1504,910,457,329,520
2020/7/20,1678,2950,1465,920,460,340,534
2020/7/21,1594,2729,1415,929,464,350,541
2020/7/22,1473,2426,1335,932,469,355,539
2020/7/23,1388,2236,1263,925,470,356,530
2020/7/24,1317,2084,1198,915,471,355,520
2020/7/27,1293,2052,1161,906,472,362,516
2020/7/28,1264,1992,1136,897,474,362,513
2020/7/29,1317,2137,1166,890,473,357,506
2020/7/30,1348,2210,1203,878,473,357,505
2020/7/31,1350,2206,1227,870,474,356,506
2020/8/3,1385,2297,1254,862,472,356,506
2020/8/4,1463,2494,1316,851,470,353,506
2020/8/5,1475,2458,1410,844,469,353,509
2020/8/6,1500,2464,1494,847,469,350,507
2020/8/7,1501,2401,1563,855,471,350,507
2020/8/10,1506,2375,1600,867,473,351,503
2020/8/11,1510,2316,1671,879,475,353,497
2020/8/12,1540,2332,1747,893,480,379,500
2020/8/13,1577,2384,1797,911,485,399,499
2020/8/14,1595,2402,1824,927,491,399,498
2020/8/17,1598,2400,1819,943,504,400,493
2020/8/18,1586,2375,1798,949,513,407,490
2020/8/19,1568,2347,1757,954,525,412,491
2020/8/20,1518,2239,1700,957,538,415,488
2020/8/21,1481,2160,1653,962,546,423,483
2020/8/24,1491,2207,1632,965,554,433,480
2020/8/25,1518,2293,1629,964,562,483,477
